DCCN0060000,CD  6 G/M
IN220322000,EXPLOSIVO SEG.30 SR DE 32X200
ING10262000,GOMA 1 26x200 MM
ING10322000,GOMA 1 32x200 MM
ING10402400,GOMA 1 40x240 MM
ING20220800,GOMA 2E-C 22X80 MM.
ING20222000,GOMA 2E-C 22X200 MM.
ING2026200E,GOMA 2E-C 26x200 EXPORTACION
ING2026200F,GOMA 2E-C 26x200 FRANCIA
ING2026200I,GOMA 2E-C 26x200 ITALIA
ING2026400F,GOMA 2E-C 26x400 FRANCIA
ING2026400I,GOMA 2E-C 26x400 ITALIA
ING20262000,GOMA 2E-C 26X200 MM.
ING20264000,GOMA 2E-C 26X400 MM.
ING2029200E,GOMA 2E-C 29x200 EXPORTACION
ING20292000,GOMA 2E-C 29X200 MM.
ING20322000,GOMA 2E-C 32X200 MM.
ING2040240I,GOMA 2E-C 40x240 ITALIA
ING20402400,GOMA 2E-C 40X240 MM.
ING2045400E,GOMA 2E-C 50X400 MM (C.45)
ING20454000,GOMA 2E-C 45X400 MM.
ING2050450E,GOMA 2E-C 50x450 EXPORTACION
ING2050450I,GOMA 2E-C 50x450 ITALIA
ING20504500,GOMA 2E-C 50X450 MM.
ING2055390E,GOMA 2E-C 55x390 EXPORTACION
ING20553900,GOMA 2E-C 55X390 MM.
ING2060420F,GOMA 2E-C 60x420 FRANCIA
ING2060420I,GOMA 2E-C 60x420 ITALIA
ING20604200,GOMA 2E-C 60X420 MM
ING2065530E,GOMA 2E-C 65x530 EXPORTACION
ING20655300,GOMA 2E-C 65X530 MM.
ING2070380F,GOMA 2E-C 70x380 FRANCIA
ING2070380I,GOMA 2E-C 70x380 ITALIA
ING20703800,GOMA 2E-C 70X380 MM.
ING20754000,GOMA 2E-C 75X400 MM.
ING2080440E,GOMA 2E-C 80x440 EXPORTACION
ING2080440F,GOMA 2E-C 80x440 FRANCIA
ING2080440I,GOMA 2E-C 80x440 ITALIA
ING20804400,GOMA 2E-C 80X440 MM.
ING2085620E,GOMA 2E-C 85x620 EXPORTACION
ING2085620F,GOMA 2E-C 85x620 FRANCIA
ING20856200,GOMA 2E-C 85X620 MM.
INGB040320E,SUPERGEL 30, 40x320 (600)
INGB050420U,RIODIN HE 50 X 370 bullet nose
INGB0705600,SUPERGEL 30, 70x560 ( 3000 )
INGE026200N,RIODIN 26x200 (NORD)
INGE026200P,GELAMONITE 33 25x200 MM
INGE026200S,GOMA 2 ECO 26X200 SUECIA
INGE026200T,RIODIN 26x200 (TR)
INGE0262000,RIODIN 26X200 MM
INGE0264000,RIODIN 26x400 MM
INGE029200C,RIODIN 29x200 CROACIA
INGE029200E,RIODIN 29x200 (EXP)
INGE0292000,RIODIN 29x200 MM
INGE030400E,RIODIN 30x400 (EXP)
INGE030400L,GOMA 2 ECO 30X400 FINLANDIA
INGE030400N,RIODIN 30x400 (NORD)
INGE030400S,GOMA 2 ECO 30X400 SUECIA
INGE032200F,GOMA 2 ECO 32X200 FRANCIA
INGE032200N,RIODIN 32x200 (NORD)
INGE032200P,GELAMONITE 33 32x200 MM
INGE032400P,GELAMONITE 33 32x400 MM
INGE0322000,RIODIN 32X200 MM
INGE035400E,GOMA 2 ECO 35X400 EXPORTACION
INGE035400N,GOMA 2 ECO 35X400 (NORD)
INGE035400S,GOMA 2 ECO 35X400 SUECIA
INGE040240C,RIODIN 40x240 CROACIA
INGE040400E,RIODIN 40x400 (EXP)
INGE040400N,RIODIN 40x400 (NORD)
INGE040400S,GOMA 2 ECO 40X400 SUECIA
INGE040530E,GOMA 2 ECO 40X530 EXPORTACION
INGE040550P,GELAMONITE 33 40x550 MM
INGE0402400,RIODIN 40X240 MM
INGE0404000,RIODIN 40X400 MM
INGE045400E,GOMA 2 ECO 45X400 PLASTICO EXPORTACION
INGE045400N,GOMA 2 ECO 45X400 (NORD)
INGE045400S,GOMA 2 ECO 45X400 SUECIA
INGE0454000,GOMA 2 ECO 45X400 MM.
INGE050380T,RIODIN 50x380 MM (TR)
INGE050390E,GOMA 2 ECO 50X390 EXPORTACION
INGE050400E,GOMA 2 ECO 50X400 EXPORTACION
INGE050450C,GOMA 2 ECO 50X450 CROACIA
