32406016LPU	Det no elec 6 M Nº 16 Rionel LP (1600 ms)
32406016U	Det no elec 6 M Nº 16 Rionel MS
32406018F	DET DAVII 6M  SP 18 MX 4S
32406018LPU	Det no elec 6 M Nº 18 Rionel LP (1800 ms)
32406018U	Det no elec 6 M Nº 18 Rionel MS
32406019F	DETO DAVII  6M SP 19 1B
32406019U	Det no elec 6 M Nº 19 Rionel MS
32406020F	DETO DAVII  6M SP 20 1B
32406020LPU	Det no elec 6 M Nº 20 Rionel LP (2000 ms)
32406020U	Det no elec 6 M Nº 20 Rionel MS
32406022U	Det no elec 6 M Nº 22 Rionel MS
32406024U	Det no elec 6 M Nº 24 Rionel MS
32406025LPU	Det no elec 6 M Nº 25 Rionel LP (2500 ms)
32406026U	Det no elec 6 M Nº 26 Rionel MS
32406028U	Det no elec 6 M Nº 28 Rionel MS
32406030LPU	Det no elec 6 M Nº 30 Rionel LP (3000 ms)
32406030U	Det no elec 6 M Nº 30 Rionel MS
32406032F	DET NE JH BC 6M LP08 SPE2 1B
32406035LPU	Det no elec 6 M Nº 35 Rionel LP (3500 ms)
32406040LPU	Det no elec 6 M Nº 40 Rionel LP (4000 ms)
32406045LPU	Det no elec 6 M Nº 45 Rionel LP (4500 ms)
32406050LPU	Det no elec 6 M Nº 50 Rionel LP (5000 ms)
32406055LPU	Det no elec 6 M Nº 55 Rionel LP (5500 ms)
32406060LPU	Det no elec 6 M Nº 60 Rionel LP (6000 ms)
32406070LPU	Det no elec 6 M Nº 70 Rionel LP (7000 ms)
32406080LPU	Det no elec 6 M Nº 80 Rionel LP (8000 ms)
32406090LPU	Det no elec 6 M Nº 90 Rionel LP (9000 ms)
32407,8.04LPF	Det. No Elec. 7,8 mt. Nº 04 Daveynel LP con J-Hook
32407,8.06LPF	DET DAVII 7M80 JH LP06 MX 1B
32407,8.07LPF	DET DAVII 7M80 JH LP07 MX 1B
32407,8.08LPF	DET DAVII 7M80 JH LP08 MX 1B
32407,8.09LPF	DET DAVII 7M80 JH LP09 MX 1B
32407,8.10LPF	DET DAVII 7M80 JH LP10 MX 1B
32407,8.12LPF	DET DAVII 7M80 JH LP12 MX 1B
32407,8.13LPF	Det. No Elec. 7,8 mt. Nº 13 Daveynel LP con J-Hook
32407,8.14LPF	DET DAVII 7M80 JH LP14 MX 1B
32407,8.16LPF	DET DAVII 7M80 JH LP16 MX 1B
32407,8.18LPF	DET DAVII 7M80 JH LP18 MX 1B
32407,8.20LPF	DET DAVII 7M80 JH LP20 MX 1B
32407,8.25LPF	DET DAVII 7M80 JH LP25 MX 1B
